Job Category,Date Time Scrapped,Searched Job Title,Searched Job Location,Job Portal,Job Date Posted,Job Title,Company Name,Job Location,Job Phone No,Job Email,Job Link,Job Description
Python/Django Developer,Feb-11-2021 06:31:09,Python Developer,"New York, NY",Dice,5 hours ago,Entry Level Python Developer,SynergisticIT,Nj,"['(510) 550-7200', '(510) 550-7156']",[],,"Job Description:
About Us:
At SynergisticIT, we're all about making connections. Whatever IT goals you have, our recruiters will find the ideal IT talent for your company. What's the secret to our success? Well, it all starts with taking quality time to listen to each client's specific needs. After we have a thorough grasp of your IT goals, we can better tailor our recruiting programs to exceed your expectations. Since our founding in 2010, SynergisticIT's strategies have earned the company an enviable position in the IT staffing, software development, and IT skill enhancement fields. SynergisticIT continues to work with hundreds of satisfied American clients ranging from Apple and Google to Kroger and the Walt Disney Company. Now it's your turn to see why so many companies are going crazy for SynergisticIT.
Role: Entry Level Python Developer
Duration: 2yrs
Seeking an entry level developer that can assist in technical support and coding review
Understanding of Java language fundamentals
Basic knowledge of Java, CSS, HTML
Participate in design and code reviews with developers
Handle multiple tasks on daily basis
Education:
Bachelors, Masters in Computer Science/ Computer Engineering/ Information Systems/Information Technology/ Electrical Engineering/ Mechanical Engineering.
Benefits:
H1B filing
E-verified
On Job Technical support
Certification on Advance Java
Permanent Position
Amit Bhandari
Sr. Talent Acquisition Specialist
Phone (510) -989-4959
Board (510) 550-7200
Fax (510) 550-7156
Email:
Website https://[www.synergisticit.com]www.synergisticit.com
39141 Civic Centre Dr, Fremont, CA
94539, United States."
Python/Django Developer,Feb-11-2021 06:31:23,Python Developer,"New York, NY",Dice,16 hours ago,Python Developer with Django,KRG Technologies Inc,"Madison, NJ",['(415) 236-7773'],[],,"Hi,
Job Title
Python Developer with Django
City
Madison
State
New Jersey
Area code
973
Experience
8+
Skill
Python, Django
Tax Term
C2C, 1099, W2
Job Description
Python Developer.
Experience: 9+ years.
Skill Set:
Work experience as a Python Developer
Expertise in at least one popular Python framework (like Django, Flask or Pyramid)
Knowledge of object-relational mapping (ORM)
Familiarity with front-end technologies (like JavaScript and HTML5)
Basic knowledge on Unix / Linux
RDBMS / SQL - Should be able to install and configure DB for a small application.
Roles & Responsibilities:
Coding, Unit testing, Impact analysis, Code review, Design, Bug fix, Integration testing.
Working closely with customers to understand the requirement.
Basic status tracking at task level.
Data setup & UAT Support.
Training & Mentoring Campus minds at technical level
Phone Number
+1 (415) 236-7773"
Python/Django Developer,Feb-11-2021 06:32:29,Python Developer,"New York, NY",Dice,18 minutes ago,VP Enterprise Java Software Engineer (Apache Ignite / Python),Nigel Frank International,"New York, NY",[],['c.walsh@nigelfrank'],,"Job Title: VP Enterprise Java Software Engineer (Apache Ignite / Python)
Job Type: Full-Time/Perm
Location: NEW YORK
Salary: $170,000

*C2C / Sponsorship not available*


This role will be responsible for all aspects of software development, testing and ensuring compatibility with enterprise and solutions architecture by harnessing modern development technologies.

Experience working in either Portfolio Management or Investment Research Management, and knowledge of Trading, Equity, FI, OTC, Exchange Traded Derivatives, Corporate Actions, Prime Brokerage, Compliance and long/short strategies and cash reinvestment highly desirable.


The team is looking for an ambitious, hands-on senior software developer to work on an exciting strategic product to expand their Aladdin Platform. This role may have direct reports. The VP, Enterprise Java Software Engineer will work with globally distributed teams, evolving the technology direction for a multitude of upcoming applications for Portfolio Management. To succeed in this role you must be passionate about multiple aspects of enterprise software development - Performance, Scale, Resilience, Usability and Maintainability.

This position will give you immense exposure and training in some of the latest technologies, such as Angular, Ignite, APIs, gRPC, Proto-buffs, Spring, Azure DevOps, Node.JS, Cassandra and more.

Mandatory Experience/Technical Skills:


10+ years hands-on experience developing complex enterprise software systems

Strong foundation in Java and related technologies

Experience distributed computing technologies (such as Apache Ignite) & scripting languages (such as Python).

A track record of forging strong relationships and building trusted partnerships through open dialogue and continuous delivery

Expertise working with project managers, technical leads and analysts across the SDLC lifecycle; understand systems requirements, design, development, testing, deployment and documentation

Experience working in an Agile development team

Experience with SQL or Apache Cassandra Database or Apache Ignite

Experience with Cloud platforms like Microsoft Azure



Job Responsibilities


Help design and build the next generation of the world best investment platform

Contribute to an Agile development team working with designers, analysts, users and leads

Apply quality software engineering practices through all phases of development and into production

Collaborate with team members in a multi-office, multi-country environment.

Ensure resilience and stability through quality code reviews, unit, regression and user acceptance testing, dev ops and level two production support.

Develop and maintain investment functionality used by portfolio managers



Benefits:


Health/Dental/Vision

401K

PTO

Competitive compensation and benefits package

Advancement opportunities with structured career paths

Access to the latest emerging technologies



Email a copy of your resume to c.walsh@nigelfrank for additional information!





Nigel Frank International is the global leader for Microsoft Azure recruitment, advertising more Microsoft Azure jobs than any other agency. We work with both Microsoft Partners & End Users throughout North America. By specializing solely in placing candidates in the Microsoft Azure market, we've built relationships with the key employers across the nation and have an unrivalled understanding of where the best opportunities are.

We understand the need for discretion and would welcome the opportunity to speak to any Azure candidates that are considering a new career or job either now or in the future. Confidentiality is of course guaranteed.

Please call or email /for additional information about the Azure market and available Azure job opportunities in your area.

See www.nigelfrank.com for more fantastic Azure opportunities!

Nigel Frank International Inc. is acting as an Employment Agency in relation to this vacancy."
Python/Django Developer,Feb-12-2021 06:25:08,Python Developer,"Austin,TX",Dice,7 hours ago,Python developer,Rose IT Corp.,,['650-666-5520'],[],,"Title: Python Developer
Duration: 7+ month contract
Location: Fully Remote!
Start Date: ASAP!
Day to Day:
50/50 tech/business role
Developing competitive analysis reports
Develop customer supporting reports
biz/product management
Technical support role in some ways
The aspiration to grow in product or data science
Great stepping stone to a higher level role
Text mining product
They provide samples of code and they help manage that code
Must haves:
Python or R - intermediate level but not an absolute beginner level (not both needed)

Preferred Skills:
Bonus AWS - to manage computing instances
Data visualization
Java
650-666-5520"
Python/Django Developer,Feb-12-2021 06:49:52,Python Developer,"Charlotte, NC",Dice,6 hours ago,"AI/ NLP/Python Developer -Charlotte,NC",Digital Technology Solutions,"Charlotte, NC",['248-438-8296'],[],,"Digital Technology Solutions (DTS) is looking for AI/ NLP/Python Developer for our Direct Client position in Charlotte, NC.
No third party C2C allowed. Candidates have to work directly with us on our W-2.
Job Responsibilities
Assist in defining specifications for significant new projects and perform professional software development tasks associated with the developing, designing and debugging of software applications according to the specifications. Additionally, provide leadership and expertise in the development of new products, services and processes.
Qualifications
3+ years experience developing large scale, highly available distributed systems
Strong knowledge of multiple, modern progradmming languages such as Java, GO, Python, Swift or C/C++
Experience with Natural Language Processing and state of the art AI learning techniques such as voice recognition, speech recognition and text recognition
Strong sense of ownership, passion to build quality products for massive scale in collaborative, agile environment and excitement to learn.
BS / MS / PhD in in Computer Science, Math or related engineering fields or equivalent practical experience
Click here to Apply
Contact Suman @248-438-8296"
Python/Django Developer,Feb-12-2021 13:59:56,Python Developer,"New York, NY",Dice,52 minutes ago,Entry Level Python Developer,SynergisticIT,Nj,"['(510) 550-7200', '(510) 550-7156']",[],,"Job Description:
About Us:
At SynergisticIT, we're all about making connections. Whatever IT goals you have, our recruiters will find the ideal IT talent for your company. What's the secret to our success? Well, it all starts with taking quality time to listen to each client's specific needs. After we have a thorough grasp of your IT goals, we can better tailor our recruiting programs to exceed your expectations. Since our founding in 2010, SynergisticIT's strategies have earned the company an enviable position in the IT staffing, software development, and IT skill enhancement fields. SynergisticIT continues to work with hundreds of satisfied American clients ranging from Apple and Google to Kroger and the Walt Disney Company. Now it's your turn to see why so many companies are going crazy for SynergisticIT.
Role: Entry Level Python Developer
Duration: 2yrs
Seeking an entry level developer that can assist in technical support and coding review
Understanding of Java language fundamentals
Basic knowledge of Java, CSS, HTML
Participate in design and code reviews with developers
Handle multiple tasks on daily basis
Education:
Bachelors, Masters in Computer Science/ Computer Engineering/ Information Systems/Information Technology/ Electrical Engineering/ Mechanical Engineering.
Benefits:
H1B filing
E-verified
On Job Technical support
Certification on Advance Java
Permanent Position
Amit Bhandari
Sr. Talent Acquisition Specialist
Phone (510) -989-4959
Board (510) 550-7200
Fax (510) 550-7156
Email:
Website https://[www.synergisticit.com]www.synergisticit.com
39141 Civic Centre Dr, Fremont, CA
94539, United States."
Python/Django Developer,Feb-12-2021 14:01:17,Python Developer,"New York, NY",Dice,16 minutes ago,Python Developer with Django,KRG Technologies Inc,"Madison, NJ",['(415) 236-7773'],[],,"Hi,
Job Title
Python Developer with Django
City
Madison
State
New Jersey
Area code
973
Experience
8+
Skill
Python, Django
Tax Term
C2C, 1099, W2
Job Description
Python Developer.
Experience: 9+ years.
Skill Set:
Work experience as a Python Developer
Expertise in at least one popular Python framework (like Django, Flask or Pyramid)
Knowledge of object-relational mapping (ORM)
Familiarity with front-end technologies (like JavaScript and HTML5)
Basic knowledge on Unix / Linux
RDBMS / SQL - Should be able to install and configure DB for a small application.
Roles & Responsibilities:
Coding, Unit testing, Impact analysis, Code review, Design, Bug fix, Integration testing.
Working closely with customers to understand the requirement.
Basic status tracking at task level.
Data setup & UAT Support.
Training & Mentoring Campus minds at technical level
Phone Number
+1 (415) 236-7773"
Python/Django Developer,Feb-12-2021 14:16:53,Python Developer,"New York, NY",Dice,moments ago,VP Enterprise Java Software Engineer (Apache Ignite / Python),Nigel Frank International,"New York, NY",[],['c.walsh@nigelfrank'],,"Job Title: VP Enterprise Java Software Engineer (Apache Ignite / Python)
Job Type: Full-Time/Perm
Location: NEW YORK
Salary: $170,000

*C2C / Sponsorship not available*


This role will be responsible for all aspects of software development, testing and ensuring compatibility with enterprise and solutions architecture by harnessing modern development technologies.

Experience working in either Portfolio Management or Investment Research Management, and knowledge of Trading, Equity, FI, OTC, Exchange Traded Derivatives, Corporate Actions, Prime Brokerage, Compliance and long/short strategies and cash reinvestment highly desirable.


The team is looking for an ambitious, hands-on senior software developer to work on an exciting strategic product to expand their Aladdin Platform. This role may have direct reports. The VP, Enterprise Java Software Engineer will work with globally distributed teams, evolving the technology direction for a multitude of upcoming applications for Portfolio Management. To succeed in this role you must be passionate about multiple aspects of enterprise software development - Performance, Scale, Resilience, Usability and Maintainability.

This position will give you immense exposure and training in some of the latest technologies, such as Angular, Ignite, APIs, gRPC, Proto-buffs, Spring, Azure DevOps, Node.JS, Cassandra and more.

Mandatory Experience/Technical Skills:


10+ years hands-on experience developing complex enterprise software systems

Strong foundation in Java and related technologies

Experience distributed computing technologies (such as Apache Ignite) & scripting languages (such as Python).

A track record of forging strong relationships and building trusted partnerships through open dialogue and continuous delivery

Expertise working with project managers, technical leads and analysts across the SDLC lifecycle; understand systems requirements, design, development, testing, deployment and documentation

Experience working in an Agile development team

Experience with SQL or Apache Cassandra Database or Apache Ignite

Experience with Cloud platforms like Microsoft Azure



Job Responsibilities


Help design and build the next generation of the world best investment platform

Contribute to an Agile development team working with designers, analysts, users and leads

Apply quality software engineering practices through all phases of development and into production

Collaborate with team members in a multi-office, multi-country environment.

Ensure resilience and stability through quality code reviews, unit, regression and user acceptance testing, dev ops and level two production support.

Develop and maintain investment functionality used by portfolio managers



Benefits:


Health/Dental/Vision

401K

PTO

Competitive compensation and benefits package

Advancement opportunities with structured career paths

Access to the latest emerging technologies



Email a copy of your resume to c.walsh@nigelfrank for additional information!





Nigel Frank International is the global leader for Microsoft Azure recruitment, advertising more Microsoft Azure jobs than any other agency. We work with both Microsoft Partners & End Users throughout North America. By specializing solely in placing candidates in the Microsoft Azure market, we've built relationships with the key employers across the nation and have an unrivalled understanding of where the best opportunities are.

We understand the need for discretion and would welcome the opportunity to speak to any Azure candidates that are considering a new career or job either now or in the future. Confidentiality is of course guaranteed.

Please call or email /for additional information about the Azure market and available Azure job opportunities in your area.

See www.nigelfrank.com for more fantastic Azure opportunities!

Nigel Frank International Inc. is acting as an Employment Agency in relation to this vacancy."
Python/Django Developer,Feb-20-2021 02:04:53,Python Developer,"Charlotte, NC",Dice,4 hours ago,"AI/ NLP/Python Developer -Charlotte,NC",Digital Technology Solutions,"Charlotte, NC",['248-438-8296'],[],,"Digital Technology Solutions (DTS) is looking for AI/ NLP/Python Developer for our Direct Client position in Charlotte, NC.
No third party C2C allowed. Candidates have to work directly with us on our W-2.
Job Responsibilities
Assist in defining specifications for significant new projects and perform professional software development tasks associated with the developing, designing and debugging of software applications according to the specifications. Additionally, provide leadership and expertise in the development of new products, services and processes.
Qualifications
3+ years experience developing large scale, highly available distributed systems
Strong knowledge of multiple, modern progradmming languages such as Java, GO, Python, Swift or C/C++
Experience with Natural Language Processing and state of the art AI learning techniques such as voice recognition, speech recognition and text recognition
Strong sense of ownership, passion to build quality products for massive scale in collaborative, agile environment and excitement to learn.
BS / MS / PhD in in Computer Science, Math or related engineering fields or equivalent practical experience
Click here to Apply
Contact Suman @248-438-8296"
Python/Django Developer,Feb-20-2021 02:25:53,Python Developer,"New York, NY",Dice,3 days ago,"Python Developer @ Jersey City, NJ / New York City, NY",Sensiple Inc.,"Jersey City, NJ",[],['vyogalakshmi@sensiple.com'],,"Sensiple Inc., service offerings include contingent Staff Augmentation of IT professionals, Permanent Recruiting and Temp-to-Hire. In addition, our industry expertise and knowledge within financial services, Insurance, Telecom, Manufacturing, Technology, Media and Entertainment, Pharmaceutical, Health Care and service industries ensures our services are customized to meet specific needs. For more details please visit our website: www.sensiple.com
We have been retained for providing recruiting assistance, for direct hires, by one of the world-leading information technology consulting, services, and business process outsourcing organization that envisioned and pioneered the adoption of the flexible global business practices that today enable companies to operate more efficiently and produce more value.
Sensiple, Inc. is an Equal Opportunity Employer and all qualified applicants will receive consideration for employment without regard to gender, race, color, religion, sex, national origin, veteran or disability status
Our client is looking for a Python Developer at Jersey City, NJ / New York City, NY. This is a 12 plus months’ contract role. Please find below the details of the position.
Job Description
Position Title:Python Developer
Location: Jersey City, NJ / New York City, NY
Length: Long term Contract
Python developer w/ 2-4 years’ experience
Experience in the finance domain – Fixed income
MUST have a background in Risk PnL or Fixed Income
System their supporting generates risk for traders
If you find yourself suitable for this position, kindly send your updated resume and expected hourly rate to vyogalakshmi@sensiple.com or reach us @ Ext 377
Regards
V.Yogalakshmi I Sensiple Inc.,
Ext (377)
555 US Highway 1 S, Ste 330 Iselin, NJ 08830"
