Job Category,Date Time Scrapped,Searched Job Title,Searched Job Location,Job Portal,Job Date Posted,Job Title,Company Name,Job Location,Job Phone No,Job Email,Job Link,Job Description
Not Mentioned,Jan-29-2021 23:38:10,Data Science,"Huntsville, AL",Dice,9 hours ago,Full Stack Software Engineer,Cygnus Professionals,"Greenville, SC","['(732) 898-1368', '(979) 267-7335']",[],,"Full Stack Software Engineer
Greenville, SC, USA (onsite)
Duration: Long Term
Job Details:
5+ years experience with frontend technology: React, Angular, OR Vue
5+ years experience with: JavaScript(Node.js), TypeScript, Java, OR .NET
5+ years developing backend solutions with: REST APIs, Event-driven services, Scheduled services, OR Serverless functions
3+ years experience with cloud hosting solutions: AWS, Google, OR Azure
5+ years working with database engines: Postgresql, SQLServer, OR Mongo
5+ years working with Git Bonus skills: Experience with CI/CD pipelines, Data Science
Strong verbal + written communication skills Demonstrates ability to work well in a team-oriented settings
Have a Great Day!
Warm Regards,
Manoj Kumar
Cygnus Professionals Inc.
3490 US Highway 1, Princeton, NJ 08540.
Cell: (732) 898-1368
T: (979) 267-7335
E:"
Not Mentioned,Jan-29-2021 23:39:50,Data Science,"Nashville, TN",Dice,9 hours ago,Full Stack Software Engineer,Cygnus Professionals,"Greenville, SC","['(732) 898-1368', '(979) 267-7335']",[],,"Full Stack Software Engineer
Greenville, SC, USA (onsite)
Duration: Long Term
Job Details:
5+ years experience with frontend technology: React, Angular, OR Vue
5+ years experience with: JavaScript(Node.js), TypeScript, Java, OR .NET
5+ years developing backend solutions with: REST APIs, Event-driven services, Scheduled services, OR Serverless functions
3+ years experience with cloud hosting solutions: AWS, Google, OR Azure
5+ years working with database engines: Postgresql, SQLServer, OR Mongo
5+ years working with Git Bonus skills: Experience with CI/CD pipelines, Data Science
Strong verbal + written communication skills Demonstrates ability to work well in a team-oriented settings
Have a Great Day!
Warm Regards,
Manoj Kumar
Cygnus Professionals Inc.
3490 US Highway 1, Princeton, NJ 08540.
Cell: (732) 898-1368
T: (979) 267-7335
E:"
Not Mentioned,Jan-30-2021 06:42:56,Data Science,"Huntsville, AL",Dice,16 hours ago,Full Stack Software Engineer,Cygnus Professionals,"Greenville, SC","['(732) 898-1368', '(979) 267-7335']",[],,"Full Stack Software Engineer
Greenville, SC, USA (onsite)
Duration: Long Term
Job Details:
5+ years experience with frontend technology: React, Angular, OR Vue
5+ years experience with: JavaScript(Node.js), TypeScript, Java, OR .NET
5+ years developing backend solutions with: REST APIs, Event-driven services, Scheduled services, OR Serverless functions
3+ years experience with cloud hosting solutions: AWS, Google, OR Azure
5+ years working with database engines: Postgresql, SQLServer, OR Mongo
5+ years working with Git Bonus skills: Experience with CI/CD pipelines, Data Science
Strong verbal + written communication skills Demonstrates ability to work well in a team-oriented settings
Have a Great Day!
Warm Regards,
Manoj Kumar
Cygnus Professionals Inc.
3490 US Highway 1, Princeton, NJ 08540.
Cell: (732) 898-1368
T: (979) 267-7335
E:"
Not Mentioned,Jan-30-2021 06:44:13,Data Science,"Nashville, TN",Dice,16 hours ago,Full Stack Software Engineer,Cygnus Professionals,"Greenville, SC","['(732) 898-1368', '(979) 267-7335']",[],,"Full Stack Software Engineer
Greenville, SC, USA (onsite)
Duration: Long Term
Job Details:
5+ years experience with frontend technology: React, Angular, OR Vue
5+ years experience with: JavaScript(Node.js), TypeScript, Java, OR .NET
5+ years developing backend solutions with: REST APIs, Event-driven services, Scheduled services, OR Serverless functions
3+ years experience with cloud hosting solutions: AWS, Google, OR Azure
5+ years working with database engines: Postgresql, SQLServer, OR Mongo
5+ years working with Git Bonus skills: Experience with CI/CD pipelines, Data Science
Strong verbal + written communication skills Demonstrates ability to work well in a team-oriented settings
Have a Great Day!
Warm Regards,
Manoj Kumar
Cygnus Professionals Inc.
3490 US Highway 1, Princeton, NJ 08540.
Cell: (732) 898-1368
T: (979) 267-7335
E:"
Python/Django Developer,Jan-30-2021 06:58:27,Python Developers,"Charlotte, NC",Dice,7 hours ago,"AI/ NLP/Python Developer -Charlotte,NC",Digital Technology Solutions,"Charlotte, NC",['248-438-8296'],[],,"Digital Technology Solutions (DTS) is looking for AI/ NLP/Python Developer for our Direct Client position in Charlotte, NC.
No third party C2C allowed. Candidates have to work directly with us on our W-2.
Job Responsibilities
Assist in defining specifications for significant new projects and perform professional software development tasks associated with the developing, designing and debugging of software applications according to the specifications. Additionally, provide leadership and expertise in the development of new products, services and processes.
Qualifications
3+ years experience developing large scale, highly available distributed systems
Strong knowledge of multiple, modern progradmming languages such as Java, GO, Python, Swift or C/C++
Experience with Natural Language Processing and state of the art AI learning techniques such as voice recognition, speech recognition and text recognition
Strong sense of ownership, passion to build quality products for massive scale in collaborative, agile environment and excitement to learn.
BS / MS / PhD in in Computer Science, Math or related engineering fields or equivalent practical experience
Click here to Apply
Contact Suman @248-438-8296"
Python/Django Developer,Jan-30-2021 07:17:02,Python Developers,"New York, NY",Dice,13 hours ago,Python Developer,Sathya Sai Corporation,"Nyc, NY",['(732) 385-5161'],[],,"Job Title : Python Developer
Location : NYC,NY
Duration : Long Term Contract
Responsibilities
Optimizing SQL queries for data collection
Automating processes for data cleaning and processing
Automating processes around live trading
Developing robust data checking and storage procedures
Contributing to a robust, scalable research infrastructure
Maintaining the system and ensuring its stability, robustness, and security
Troubleshooting and resolving any systems-related issues and handling the release of code fixes and enhancements
Requirements
Undergraduate or higher degree in Computer Science, Mathematics, or other quantitative discipline
Strong programming experience in Python (5+ years) is required (including NumPy and Pandas)
Strong SQL experience is required (5+ years)
Experience with MATLAB (2+ years)
Familiarity with version control and software delivery lifecycle
High skilled technologist with reasonable quantitative skills
Experience developing back-testing, simulation, and trading systems is a plus
Detail-oriented
Willing to take ownership of his/her work, working both independently and within a small team
Thanks & Regards,Aman Pradhan.
----------------------------------------------Sathya Sai CorporationPh : (732) 385-5161Em: www.SathyaSaiCorp.com"
Python/Django Developer,Jan-30-2021 07:17:53,Python Developers,"New York, NY",Dice,10 hours ago,Entry Level Python Developer,SynergisticIT,Nj,"['(510) 550-7200', '(510) 550-7156']",[],,"Job Description:
About Us:
At SynergisticIT, we're all about making connections. Whatever IT goals you have, our recruiters will find the ideal IT talent for your company. What's the secret to our success? Well, it all starts with taking quality time to listen to each client's specific needs. After we have a thorough grasp of your IT goals, we can better tailor our recruiting programs to exceed your expectations. Since our founding in 2010, SynergisticIT's strategies have earned the company an enviable position in the IT staffing, software development, and IT skill enhancement fields. SynergisticIT continues to work with hundreds of satisfied American clients ranging from Apple and Google to Kroger and the Walt Disney Company. Now it's your turn to see why so many companies are going crazy for SynergisticIT.
Role: Entry Level Python Developer
Duration: 2yrs
Seeking an entry level developer that can assist in technical support and coding review
Understanding of Java language fundamentals
Basic knowledge of Java, CSS, HTML
Participate in design and code reviews with developers
Handle multiple tasks on daily basis
Education:
Bachelors, Masters in Computer Science/ Computer Engineering/ Information Systems/Information Technology/ Electrical Engineering/ Mechanical Engineering.
Benefits:
H1B filing
E-verified
On Job Technical support
Certification on Advance Java
Permanent Position
Amit Bhandari
Sr. Talent Acquisition Specialist
Phone (510) -989-4959
Board (510) 550-7200
Fax (510) 550-7156
Email
Website https://[www.synergisticit.com]www.synergisticit.com
39141 Civic Centre Dr, Fremont, CA
94539, United States."
Python/Django Developer,Jan-30-2021 07:18:07,Python Developers,"New York, NY",Dice,14 hours ago,Python Developer with Django,KRG Technologies Inc,"Madison, NJ",['(415) 236-7773'],[],,"Hi,
Job Title
Python Developer with Django
City
Madison
State
New Jersey
Area code
973
Experience
8+
Skill
Python, Django
Tax Term
C2C, 1099, W2
Job Description
Python Developer.
Experience: 9+ years.
Skill Set:
Work experience as a Python Developer
Expertise in at least one popular Python framework (like Django, Flask or Pyramid)
Knowledge of object-relational mapping (ORM)
Familiarity with front-end technologies (like JavaScript and HTML5)
Basic knowledge on Unix / Linux
RDBMS / SQL - Should be able to install and configure DB for a small application.
Roles & Responsibilities:
Coding, Unit testing, Impact analysis, Code review, Design, Bug fix, Integration testing.
Working closely with customers to understand the requirement.
Basic status tracking at task level.
Data setup & UAT Support.
Training & Mentoring Campus minds at technical level
Phone Number
+1 (415) 236-7773"
Python/Django Developer,Jan-30-2021 07:19:25,Python Developers,"New York, NY",Dice,1 hour ago,VP Enterprise Java Software Engineer (Apache Ignite / Python),Nigel Frank International,"New York, NY",[],['c.walsh@nigelfrank'],,"Job Title: VP Enterprise Java Software Engineer (Apache Ignite / Python)
Job Type: Full-Time/Perm
Location: NEW YORK
Salary: $170,000

*C2C / Sponsorship not available*


This role will be responsible for all aspects of software development, testing and ensuring compatibility with enterprise and solutions architecture by harnessing modern development technologies.

Experience working in either Portfolio Management or Investment Research Management, and knowledge of Trading, Equity, FI, OTC, Exchange Traded Derivatives, Corporate Actions, Prime Brokerage, Compliance and long/short strategies and cash reinvestment highly desirable.


The team is looking for an ambitious, hands-on senior software developer to work on an exciting strategic product to expand their Aladdin Platform. This role may have direct reports. The VP, Enterprise Java Software Engineer will work with globally distributed teams, evolving the technology direction for a multitude of upcoming applications for Portfolio Management. To succeed in this role you must be passionate about multiple aspects of enterprise software development - Performance, Scale, Resilience, Usability and Maintainability.

This position will give you immense exposure and training in some of the latest technologies, such as Angular, Ignite, APIs, gRPC, Proto-buffs, Spring, Azure DevOps, Node.JS, Cassandra and more.

Mandatory Experience/Technical Skills:


10+ years hands-on experience developing complex enterprise software systems

Strong foundation in Java and related technologies

Experience distributed computing technologies (such as Apache Ignite) & scripting languages (such as Python).

A track record of forging strong relationships and building trusted partnerships through open dialogue and continuous delivery

Expertise working with project managers, technical leads and analysts across the SDLC lifecycle; understand systems requirements, design, development, testing, deployment and documentation

Experience working in an Agile development team

Experience with SQL or Apache Cassandra Database or Apache Ignite

Experience with Cloud platforms like Microsoft Azure



Job Responsibilities


Help design and build the next generation of the world best investment platform

Contribute to an Agile development team working with designers, analysts, users and leads

Apply quality software engineering practices through all phases of development and into production

Collaborate with team members in a multi-office, multi-country environment.

Ensure resilience and stability through quality code reviews, unit, regression and user acceptance testing, dev ops and level two production support.

Develop and maintain investment functionality used by portfolio managers



Benefits:


Health/Dental/Vision

401K

PTO

Competitive compensation and benefits package

Advancement opportunities with structured career paths

Access to the latest emerging technologies



Email a copy of your resume to c.walsh@nigelfrank for additional information!





Nigel Frank International is the global leader for Microsoft Azure recruitment, advertising more Microsoft Azure jobs than any other agency. We work with both Microsoft Partners & End Users throughout North America. By specializing solely in placing candidates in the Microsoft Azure market, we've built relationships with the key employers across the nation and have an unrivalled understanding of where the best opportunities are.

We understand the need for discretion and would welcome the opportunity to speak to any Azure candidates that are considering a new career or job either now or in the future. Confidentiality is of course guaranteed.

Please call or email /for additional information about the Azure market and available Azure job opportunities in your area.

See www.nigelfrank.com for more fantastic Azure opportunities!

Nigel Frank International Inc. is acting as an Employment Agency in relation to this vacancy."
Python/Django Developer,Jan-30-2021 07:32:17,Java Developer,"Washington, DC",Dice,8 hours ago,"Need Sr. Java Developer with Test Automation Development experience-Reston, VA(Locals to RESTON VA area only)",Apton Inc,"Reston, VA",[],['saleem@aptoninc.com'],,"Hi
Hope you are doing great!
My name is Saleem Sayyad, Sr Technical Recruiter at Apton Inc, we have Sr Java Developer with Test Automation Development experience role available with our leading client. Please find below a detailed Job Description and if you are interested to apply, please share your latest resumes at the earliest.
Position: Sr. Java Developer with Test Automation Development experience
VISA- USC/OPT EAD/ EAD’s and H1B
Duration: Long term contract
Locals to RESTON VA area only .
6-8 Years Experience in the following:
Must have Java / JEE development experience with ability to develop unit / integration test cases using Junit /TestNg.
Must have ability to understand and work with code developed by other developers.
Must have ability to work independently.
Must have experience with web services and understanding of RESTful / SOA Services.
Must have extensive experience with Agile or Scrum methodologies.
Must have strong experience in continuous integration within DevOps environment.
Must have Test Automation development experience, familiar with test automation framework - Selenium, Cucumber...
Must have excellent communication skills, both verbal and written (in English).
Must to have experience with working on front end applications using JavaScript, JQuery, Angular and Bootstrap.
Good to have experience working with API Management Tools.
Good to have Experience working with GIT/BitBucket.
Good to have data integration/ETL development experience, preferably with Ab Initio and Big Data software.
Good to have analytics/BI development experience, preferably with the full MicroStrategy suite of tools.
The recruited Developer will join Scrum teams to work on SOW features work. 50% work will be on feature development and deliverables in Java. 50% work will be working with development team and testing team to enhance code test automation coverage, improve regression test suit and involve DevOps release orchestration enhancement.
Additional Skills: Other than Java development experience, test automation skills and experience is a must.
Additional Notes to Vendor
The recruited Developer will join Scrum teams to work on SOW features work. 50% work will be on feature development and deliverables in Java. 50% work will be working with development team and testing team to enhance code test automation coverage, improve regression test suit and involve DevOps release orchestration enhancement. Additional Skills: Other than Java development experience, test automation skills and experience is a must.
Thanks & Regards
Saleem Sayyad
Sr. Recruiter
APTON, Inc.
Email: saleem@aptoninc.com"
